BusinessUnit,CustomerNo,Salesperson,OrderLines,DiscountEUR,CategoryCode,CategoryLabel,CustCatDiscountEUR,PctOfCustomer
DK,22228222,MIJ-DK,3,0.0053557770264300196,PA2_Manually,Manual Price Change,0.0053557770264300196,100.0
DK,22581,B2B-DK,1,71.05668411960845,PA2_Manually,Manual Price Change,71.05668411960845,100.0
DK,22606014A,CBE-DK,37,3342.1577428481,PA2_Manually,Manual Price Change,3342.1577428481,100.0
DK,22665,UWH-DK,8,140.07617824776216,PA2_Manually,Manual Price Change,140.07617824776216,100.0
DK,22875,B2B-DK,1,32.17503217503217,PA2_Manually,Manual Price Change,239.6468376237625,13.43
DK,22875,DKR-DK,3,207.47180544873035,PA2_Manually,Manual Price Change,239.6468376237625,86.57
DK,22891,B2B-DK,2,0.048194398810983995,PA2_Manually,Manual Price Change,0.048194398810983995,100.0
DK,23147,B2B-DK,5,112.04215155252857,PA2_Manually,Manual Price Change,112.04215155252857,100.0
DK,23197,B2B-DK,1,3.74278559663618,PA2_Manually,Manual Price Change,3.74278559663618,100.0
DK,23239,DKR-DK,15,2341.9868242657035,PA2_Manually,Manual Price Change,2341.9868242657035,100.0
DK,23329,B2B-DK,1,67.20944869236854,PA2_Manually,Manual Price Change,964.54821057442,6.97
DK,23329,UWH-DK,9,897.3387618820514,PA2_Manually,Manual Price Change,964.54821057442,93.03
DK,23493,B2B-DK,1,313.0106345932335,PA2_Manually,Manual Price Change,313.0106345932335,100.0
DK,23502,MRO-DK,2,-59.07157097025855,PA2_Manually,Manual Price Change,-59.07157097025855,100.0
DK,23547,PERSONALE,28,244.21254942003455,PA2_Manually,Manual Price Change,244.21254942003455,100.0
DK,23549,PERSONALE,3,5.703498413463471,PA2_Manually,Manual Price Change,5.703498413463471,100.0
DK,23565,B2B-DK,1,1.0725585885128974,PA2_Manually,Manual Price Change,4.231426325997324,25.35
DK,23565,IFO-DK,1,3.1588677374844267,PA2_Manually,Manual Price Change,4.231426325997324,74.65
DK,23597,UWH-DK,6,3241.8620004386667,PA2_Manually,Manual Price Change,3241.8620004386667,100.0
DK,23605,DKR-DK,10,2392.7947117487374,PA2_Manually,Manual Price Change,2392.7947117487374,100.0
DK,23607,CHA-DK,10,330.65259611375706,PA2_Manually,Manual Price Change,330.65259611375706,100.0
DK,23625,KMA-DK,106,15212.537540796835,PA2_Manually,Manual Price Change,15212.537540796835,100.0
DK,23703,B2B-DK,1,0.0013406802611632955,PA2_Manually,Manual Price Change,0.0013406802611632955,100.0
DK,23706,SEC-DK,2,607.8168857452509,PA2_Manually,Manual Price Change,607.8168857452509,100.0
DK,23708,B2B-DK,1,13.43643624862632,PA2_Manually,Manual Price Change,13.43643624862632,100.0
DK,23710,B2B-DK,6,3095.101124914667,PA2_Manually,Manual Price Change,3095.101124914667,100.0
DK,23719,CHA-DK,15,310.18818136027835,PA2_Manually,Manual Price Change,310.18818136027835,100.0
DK,23723,PERSONALE,84,1288.1664311950592,PA2_Manually,Manual Price Change,1288.1664311950592,100.0
DK,23737,B2B-DK,1,23.202789699570815,PA2_Manually,Manual Price Change,278.69261048662804,8.33
DK,23737,DKR-DK,15,255.48982078705723,PA2_Manually,Manual Price Change,278.69261048662804,91.67
DK,23747,B2B-DK,3,135.92740530252257,PA2_Manually,Manual Price Change,3919.661527018678,3.47
DK,23747,DKR-DK,7,3783.7341217161556,PA2_Manually,Manual Price Change,3919.661527018678,96.53
DK,23752,B2B-DK,1,112.69726345145676,PA2_Manually,Manual Price Change,112.69726345145676,100.0
DK,23755,B2B-DK,4,107.17457158769251,PA2_Manually,Manual Price Change,107.17457158769251,100.0
DK,23770,SEC-DK,3,297.8592206329844,PA2_Manually,Manual Price Change,297.8592206329844,100.0
DK,23775,B2B-DK,3,106.76345048510595,PA2_Manually,Manual Price Change,164.6364435198853,64.85
